"projeto","total","falhou","proporcao"
"alex4u2nv/HibernateModeling",24,7,0.291666666666667
"alexec/tutorial-hibernate-jpa",16,8,0.5
"andreas-schilling/hibernate-anytype",24,7,0.291666666666667
"astrapi69/spring.hibernate.jpa/spring.hibernate.jpa",8,3,0.375
"auskast/jpa",16,6,0.375
"castlecodestein/spring-orm-jpa",8,4,0.5
"CloudBees-community/tomcat7-hibernate-jpa-clickstart",8,2,0.25
"CrocusJava/carrentals-v3/Carjpaejbearbean",40,8,0.2
"csantos0/synchro-agenda-services/synchro-agenda-services",24,6,0.25
"danielme-com/Maven---JPA-2---Hibernate-4---Log4j",16,7,0.4375
"davisoski/SpringMVCTomcat5CRUD",24,10,0.416666666666667
"dsawa/FCManager",24,15,0.625
"eralmas7/Hibernate-JPA",48,20,0.416666666666667
"ethiclab/spring-boot-vaadin-template",8,4,0.5
"fabianoalmeida/stock-example-integration",8,0,0
"FabianRojasFuentes/Webservices-REST-JAX-RS/Webservices-JPA",32,14,0.4375
"feliperodriguesbastos/setsoft",40,11,0.275
"franklindeoliveira/springmvc-jpa-advanced",88,36,0.409090909090909
"fwich/hibernate4JPAConverter",8,2,0.25
"gabriel-fallen/instaphoto",24,11,0.458333333333333
"huoex/HibernateStudyJpa",24,9,0.375
"imed-pf/dojo-persistence-jpa-hibernate-example",16,9,0.5625
"indvamshi/applicationlibrary-backend",136,20,0.147058823529412
"jhong2023/rest-bootstrap",16,8,0.5
"lgazo/jboss-poc/horec-domain",8,3,0.375
"lorinpa/book-site-jpa",40,8,0.2
"lukaszbudnik/hibernate-multitenant",32,6,0.1875
"MelissaLobo/lojaVirtualComJPA",32,12,0.375
"natanielpaiva/JPA-2-and-Hibernate",16,6,0.375
"oleg-panichev/StudentsProject",16,8,0.5
"olivier8/ToysForBoys",40,4,0.1
"puneetjaiswal/SpringJpaHibernate-DAOs/hibernate-test",40,20,0.5
"roraffer/SimpleRestHibernate",8,3,0.375
"rponte/jpa-issuetracker-project",48,16,0.333333333333333
"samantang/BanqueSpringJPA2Hibernate/Banque6",88,30,0.340909090909091
"seasarorg/s2hibernate-jpa/s2hibernate-jpa",24,6,0.25
"sobngwi/spring-webmvc-hibernate/spring-mvc-hibernate",48,19,0.395833333333333
"stenman/databasefun",24,12,0.5
"WellsCui/spring-mvc-jpa-hibernate-mysql/mysecond-spring-mvc",8,3,0.375
"zhy2002/FitnessTracker",40,14,0.35
