"projeto","total","falhou","proporcao"
"alexec/tutorial-hibernate-jpa",16,8,0.5
"amacoder/demo-restWS-spring-jersey-jpa2-hibernate",8,2,0.25
"andrewmilkowski/template-wicket-spring-jpa2-hibernate-osgi/database-tier",8,1,0.125
"asdtiang/springMvc-jpa-demo",8,2,0.25
"benzina/projetTranseversal/ecommerce_projet",56,19,0.339285714285714
"chathurangat/Spring3-Hibernate-Maven-JPA",8,4,0.5
"cliffmaury/angular-spring4-stack",8,1,0.125
"danielme-com/Spring-3---JPA-2---Hibernate-4---c3p0---EHCache---log4j-Integration-Demo",8,3,0.375
"DanielMichalski/spring-web-rss-channels/rss-core",40,19,0.475
"diegogusava/spring-mvc-jpa",8,2,0.25
"feliperodriguesbastos/setsoft",40,11,0.275
"galderz/secondlc",24,9,0.375
"gitchina/jpaJxet-Atomikos-Manage",16,6,0.375
"GoogleCloudPlatform/appengine-cloudsql-native-mysql-hibernate-jpa-demo-java",8,4,0.5
"gustavoorsi/e-learning/e-learning-model",40,17,0.425
"henryyan/activiti-jpa-api/activiti-jpa-core",160,62,0.3875
"honeyzhaoAliyun/WeixinMultiPlatform",208,32,0.153846153846154
"jirkapinkas/example-spring-boot",8,3,0.375
"konrad-garus/HibernateConcurrencyDemo",8,3,0.375
"makrand-bkar/springjpa",16,7,0.4375
"mblanc/webapp-template",8,3,0.375
"MelissaLobo/blogComJSF",24,8,0.333333333333333
"michaelisvy/hibernate-4-spring-3.1-samples",32,12,0.375
"mohamedYoussfi/eboutique-jpa-hibernate-spring",56,18,0.321428571428571
"nchandra/SampleDropwizardService",8,3,0.375
"oregami/dropwizard-guice-jpa-seed",32,11,0.34375
"pawel-b/spring-vaadin-jpa-example/svexample-web",16,5,0.3125
"philipsorst/angular-rest-springsecurity",16,7,0.4375
"pires/fabric8-persistence-hibernate/dal.impl",8,4,0.5
"pires/simple-jpa-hibernate-guice-desktop-app",8,3,0.375
"Raysmond/SpringBlog",32,2,0.0625
"rponte/jpa-issuetracker-project",48,16,0.333333333333333
"sroysf/standalone-jpa-hibernate",16,6,0.375
"sroysf/webapp-springmvc-jpa-hibernate",16,6,0.375
"sxyx2008/hibernate-search-example/hibernate-example",16,6,0.375
"sxyx2008/maven-framework-project",40,20,0.5
"szczepkowski/Library",88,35,0.397727272727273
"thrawn01/Spring-Jersey-Hibernate-DbUnit-Example",8,4,0.5
"yanaga-samples/clean-jpa",8,3,0.375
"yaw/swing-spring-jpa-crud",8,5,0.625
