"","project","numEntities","failEntities","entities fail proportion","numTests","failTests","tests fail proportion","failRules","rules fail proportion","R1","R2","R3","R4","R5","R6","R7","R8"
"1","alex4u2nv/HibernateModeling",3,3,100,24,7,29.2,4,50,0,0,0,1,2,2,0,2
"2","alexec/tutorial-hibernate-jpa",2,2,100,16,8,50,4,50,0,0,0,2,2,2,0,2
"3","andreas-schilling/hibernate-anytype",3,3,100,24,7,29.2,3,37.5,0,0,0,0,0,3,1,3
"4","astrapi69/spring.hibernate.jpa/spring.hibernate.jpa",1,1,100,8,3,37.5,3,37.5,0,0,0,0,1,1,0,1
"5","auskast/jpa",2,2,100,16,6,37.5,4,50,0,0,0,1,0,2,1,2
"6","castlecodestein/spring-orm-jpa",1,1,100,8,4,50,4,50,0,0,0,1,1,1,0,1
"7","CloudBees-community/tomcat7-hibernate-jpa-clickstart",1,1,100,8,2,25,2,25,0,0,0,0,0,1,0,1
"8","CrocusJava/carrentals-v3/Carjpaejbearbean",5,5,100,40,8,20,2,25,0,0,0,3,0,5,0,0
"9","csantos0/synchro-agenda-services/synchro-agenda-services",3,3,100,24,6,25,2,25,0,0,0,0,3,3,0,0
"10","danielme-com/Maven---JPA-2---Hibernate-4---Log4j",2,2,100,16,7,43.8,4,50,0,0,0,0,2,2,1,2
"11","davisoski/SpringMVCTomcat5CRUD",3,3,100,24,10,41.7,4,50,0,0,0,0,3,3,2,2
"12","dsawa/FCManager",3,3,100,24,15,62.5,6,75,0,3,0,1,3,3,2,3
"13","eralmas7/Hibernate-JPA",6,6,100,48,20,41.7,4,50,0,0,0,0,6,6,2,6
"14","ethiclab/spring-boot-vaadin-template",1,1,100,8,4,50,4,50,0,1,0,0,1,1,0,1
"15","fabianoalmeida/stock-example-integration",1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"16","FabianRojasFuentes/Webservices-REST-JAX-RS/Webservices-JPA",4,4,100,32,14,43.8,5,62.5,0,0,0,1,4,4,1,4
"17","feliperodriguesbastos/setsoft",5,5,100,40,11,27.5,4,50,0,0,0,1,0,5,2,3
"18","franklindeoliveira/springmvc-jpa-advanced",11,11,100,88,36,40.9,5,62.5,0,0,0,2,11,11,1,11
"19","fwich/hibernate4JPAConverter",1,1,100,8,2,25,2,25,0,0,0,0,1,1,0,0
"20","gabriel-fallen/instaphoto",3,3,100,24,11,45.8,4,50,0,0,0,0,3,3,2,3
"21","huoex/HibernateStudyJpa",3,3,100,24,9,37.5,3,37.5,0,0,0,0,3,3,0,3
"22","imed-pf/dojo-persistence-jpa-hibernate-example",2,2,100,16,9,56.2,5,62.5,0,0,0,2,2,2,1,2
"23","indvamshi/applicationlibrary-backend",17,16,94.1,136,20,14.7,2,25,0,0,0,5,0,15,0,0
"24","jhong2023/rest-bootstrap",2,2,100,16,8,50,4,50,0,2,0,0,2,2,0,2
"25","lgazo/jboss-poc/horec-domain",1,1,100,8,3,37.5,3,37.5,0,0,0,0,1,1,0,1
"26","lorinpa/book-site-jpa",5,5,100,40,8,20,2,25,0,0,0,0,0,5,3,0
"27","lukaszbudnik/hibernate-multitenant",4,4,100,32,6,18.8,3,37.5,0,0,0,1,0,0,1,4
"28","MelissaLobo/lojaVirtualComJPA",4,4,100,32,12,37.5,4,50,0,0,0,0,1,4,3,4
"29","natanielpaiva/JPA-2-and-Hibernate",2,2,100,16,6,37.5,3,37.5,0,0,0,0,2,2,0,2
"30","oleg-panichev/StudentsProject",2,2,100,16,8,50,5,62.5,0,0,0,1,2,2,1,2
"31","olivier8/ToysForBoys",5,4,80,40,4,10,1,12.5,0,0,0,4,0,0,0,0
"32","puneetjaiswal/SpringJpaHibernate-DAOs/hibernate-test",5,5,100,40,20,50,4,50,0,0,0,5,5,5,0,5
"33","roraffer/SimpleRestHibernate",1,1,100,8,3,37.5,3,37.5,0,0,0,0,1,1,0,1
"34","rponte/jpa-issuetracker-project",6,6,100,48,16,33.3,5,62.5,0,0,0,3,4,6,1,2
"35","samantang/BanqueSpringJPA2Hibernate/Banque6",11,11,100,88,30,34.1,4,50,0,0,0,1,11,11,7,0
"36","seasarorg/s2hibernate-jpa/s2hibernate-jpa",3,3,100,24,6,25,2,25,0,0,0,0,3,3,0,0
"37","sobngwi/spring-webmvc-hibernate/spring-mvc-hibernate",6,6,100,48,19,39.6,4,50,0,0,0,1,6,6,0,6
"38","stenman/databasefun",3,3,100,24,12,50,4,50,0,0,0,3,3,3,0,3
"39","WellsCui/spring-mvc-jpa-hibernate-mysql/mysecond-spring-mvc",1,1,100,8,3,37.5,3,37.5,0,1,0,0,1,1,0,0
"40","zhy2002/FitnessTracker",5,5,100,40,14,35,5,62.5,0,0,0,1,3,4,1,5
