"","project","numEntities","failEntities","entities fail proportion","numTests","failTests","tests fail proportion","failRules","rules fail proportion","R1","R2","R3","R4","R5","R6","R7","R8"
"1","alexec/tutorial-hibernate-jpa",2,2,100,16,8,50,4,50,0,0,0,2,2,2,0,2
"2","amacoder/demo-restWS-spring-jersey-jpa2-hibernate",1,1,100,8,2,25,2,25,0,0,0,0,1,1,0,0
"3","andrewmilkowski/template-wicket-spring-jpa2-hibernate-osgi/database-tier",1,1,100,8,1,12.5,1,12.5,0,0,0,0,0,1,0,0
"4","asdtiang/springMvc-jpa-demo",1,1,100,8,2,25,2,25,0,0,0,0,1,1,0,0
"5","benzina/projetTranseversal/ecommerce_projet",7,7,100,56,19,33.9,4,50,0,0,0,1,7,7,4,0
"6","chathurangat/Spring3-Hibernate-Maven-JPA",1,1,100,8,4,50,4,50,0,0,0,1,1,1,0,1
"7","cliffmaury/angular-spring4-stack",1,1,100,8,1,12.5,1,12.5,0,0,0,0,0,1,0,0
"8","danielme-com/Spring-3---JPA-2---Hibernate-4---c3p0---EHCache---log4j-Integration-Demo",1,1,100,8,3,37.5,3,37.5,0,0,0,0,1,1,0,1
"9","DanielMichalski/spring-web-rss-channels/rss-core",5,5,100,40,19,47.5,4,50,0,0,0,0,5,5,4,5
"10","diegogusava/spring-mvc-jpa",1,1,100,8,2,25,2,25,0,0,0,0,0,1,0,1
"11","feliperodriguesbastos/setsoft",5,5,100,40,11,27.5,4,50,0,0,0,1,0,5,2,3
"12","galderz/secondlc",3,3,100,24,9,37.5,3,37.5,0,0,0,3,0,3,0,3
"13","gitchina/jpaJxet-Atomikos-Manage",2,2,100,16,6,37.5,3,37.5,0,2,0,0,2,2,0,0
"14","GoogleCloudPlatform/appengine-cloudsql-native-mysql-hibernate-jpa-demo-java",1,1,100,8,4,50,4,50,0,1,0,0,1,1,0,1
"15","gustavoorsi/e-learning/e-learning-model",5,5,100,40,17,42.5,4,50,0,0,0,0,5,5,2,5
"16","henryyan/activiti-jpa-api/activiti-jpa-core",20,20,100,160,62,38.8,5,62.5,0,1,0,19,20,20,2,0
"17","honeyzhaoAliyun/WeixinMultiPlatform",26,26,100,208,32,15.4,3,37.5,0,0,0,0,0,4,2,26
"18","jirkapinkas/example-spring-boot",1,1,100,8,3,37.5,3,37.5,0,0,0,0,1,1,0,1
"19","konrad-garus/HibernateConcurrencyDemo",1,1,100,8,3,37.5,3,37.5,0,0,0,0,1,1,0,1
"20","makrand-bkar/springjpa",2,2,100,16,7,43.8,4,50,0,0,0,1,2,2,0,2
"21","mblanc/webapp-template",1,1,100,8,3,37.5,3,37.5,0,0,0,0,1,1,0,1
"22","MelissaLobo/blogComJSF",3,3,100,24,8,33.3,3,37.5,0,0,0,0,0,3,2,3
"23","michaelisvy/hibernate-4-spring-3.1-samples",4,4,100,32,12,37.5,3,37.5,0,0,0,0,4,4,0,4
"24","mohamedYoussfi/eboutique-jpa-hibernate-spring",7,7,100,56,18,32.1,3,37.5,0,0,0,0,7,7,4,0
"25","nchandra/SampleDropwizardService",1,1,100,8,3,37.5,3,37.5,0,0,0,0,1,1,0,1
"26","oregami/dropwizard-guice-jpa-seed",4,4,100,32,11,34.4,5,62.5,0,1,0,1,4,4,0,1
"27","pawel-b/spring-vaadin-jpa-example/svexample-web",2,2,100,16,5,31.2,4,50,0,1,0,0,1,2,0,1
"28","philipsorst/angular-rest-springsecurity",2,2,100,16,7,43.8,4,50,0,0,0,1,2,2,0,2
"29","pires/fabric8-persistence-hibernate/dal.impl",1,1,100,8,4,50,4,50,0,0,0,1,1,1,0,1
"30","pires/simple-jpa-hibernate-guice-desktop-app",1,1,100,8,3,37.5,3,37.5,0,0,0,0,1,1,0,1
"31","Raysmond/SpringBlog",4,2,50,32,2,6.2,1,12.5,0,0,0,0,0,0,2,0
"32","rponte/jpa-issuetracker-project",6,6,100,48,16,33.3,5,62.5,0,0,0,3,4,6,1,2
"33","sroysf/standalone-jpa-hibernate",2,2,100,16,6,37.5,3,37.5,0,0,0,0,2,2,0,2
"34","sroysf/webapp-springmvc-jpa-hibernate",2,2,100,16,6,37.5,3,37.5,0,0,0,0,2,2,0,2
"35","sxyx2008/hibernate-search-example/hibernate-example",2,2,100,16,6,37.5,3,37.5,0,0,0,0,2,2,0,2
"36","sxyx2008/maven-framework-project",5,5,100,40,20,50,4,50,0,5,0,0,5,5,0,5
"37","szczepkowski/Library",11,11,100,88,35,39.8,5,62.5,0,11,0,1,11,11,0,1
"38","thrawn01/Spring-Jersey-Hibernate-DbUnit-Example",1,1,100,8,4,50,4,50,0,1,0,0,1,1,0,1
"39","yanaga-samples/clean-jpa",1,1,100,8,3,37.5,3,37.5,0,0,0,1,1,1,0,0
"40","yaw/swing-spring-jpa-crud",1,1,100,8,5,62.5,5,62.5,0,1,0,1,1,1,0,1
